#name, A, B, C, D, E, F
KJ501378/2001/USA/PA/Bucks/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0
KJ501269/2001/USA/NJ/Middlesex/NY99/unknown/Bird-other, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000131, 8.889970498730447e-11, 1.9299187253713345e-05, 1.348425499911372e-09, 0.9999806750895375, 6.939326706940184e-10, 2.3591950934168353e-08
NODE_0000134, 8.91652986290261e-11, 2.0585683391559918e-05, 1.3523444419565715e-09, 0.9999793884248411, 6.957022959568334e-10, 2.375455543672022e-08
NODE_0000041, 8.889540242393751e-11, 1.9272966383805137e-05, 1.3484080184259057e-09, 0.9999807013107945, 6.939217181674727e-10, 2.359159652205508e-08
HM756662/2001/USA/NY/Unknown/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
HM756664/2002/USA/NY/Unknown/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000136, 8.903185596191097e-11, 1.9929247523618086e-05, 1.350381876676701e-09, 0.9999800449451396, 6.948157139646655e-10, 2.3673107297310848e-08
KJ501465/2001/USA/MI/Oakland/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000042, 8.889205732440829e-11, 1.925132456299202e-05, 1.34839338155537e-09, 0.9999807229529877, 6.939128501057893e-10, 2.359125096378714e-08
KJ501493/2001/USA/DC/District_Of_Columbia/NY99/unknown/Bird-other, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
KJ501445/2001/USA/NJ/Unknown/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000043, 3.850435077064302e-14, 7.433567455574623e-07, 1.588656907615586e-12, 0.9999992565619004, 6.464837215155936e-13, 7.908045414689556e-11
NODE_0000057, 8.902920830597629e-11, 1.990990291310838e-05, 1.3503679585629585e-09, 0.9999800642901224, 6.948077184265209e-10, 2.3672759447007873e-08
NODE_0000058, 8.889195940485527e-11, 1.9250686797019477e-05, 1.34839300300915e-09, 0.9999807235907578, 6.939126061940593e-10, 2.3591247662258442e-08
KJ501374/2001/USA/NJ/Union/NY99/unknown/Bird-other, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
HM488248/2001/USA/NY/Unknown/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000059, 8.889195940485527e-11, 1.9250686797019477e-05, 1.34839300300915e-09, 0.9999807235907578, 6.939126061940593e-10, 2.3591247662258442e-08
KX547554/2002/USA/NY/Bronx/NY99/unknown/Bird-other, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
KX547509/2002/USA/NY/Westchester/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
